transport;station_depart;time_depart;station_arrive;time_arrive;day
279; ќћћ”ЌјЋ№Ќјя ”Ћ;12:36;ѕ–»Ћ” »(—еницкий с/с);12:48;сб вс
279; ќћћ”ЌјЋ№Ќјя ”Ћ;12:41;ѕ–»Ћ” »(—еницкий с/с);12:53;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;12:51;ѕ–»Ћ” »(—еницкий с/с);13:03;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;13:05;ѕ–»Ћ” »(—еницкий с/с);13:17;пн вт ср чт пт
279; ќћћ”ЌјЋ№Ќјя ”Ћ;13:19;ѕ–»Ћ” »(—еницкий с/с);13:31;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;13:21;ѕ–»Ћ” »(—еницкий с/с);13:33;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;13:34;ѕ–»Ћ” »(—еницкий с/с);13:46;пн вт ср чт пт
279; ќћћ”ЌјЋ№Ќјя ”Ћ;13:36;ѕ–»Ћ” »(—еницкий с/с);13:48;сб вс
211; ќћћ”ЌјЋ№Ќјя ”Ћ;13:48;ѕ–»Ћ” »(—еницкий с/с);14:00;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;13:51;ѕ–»Ћ” »(—еницкий с/с);14:03;сб вс
279; ќћћ”ЌјЋ№Ќјя ”Ћ;13:55;ѕ–»Ћ” »(—еницкий с/с);14:07;пн вт ср чт пт
279; ќћћ”ЌјЋ№Ќјя ”Ћ;14:06;ѕ–»Ћ” »(—еницкий с/с);14:18;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;14:07;ѕ–»Ћ” »(—еницкий с/с);14:19;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;14:22;ѕ–»Ћ” »(—еницкий с/с);14:34;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;14:29;ѕ–»Ћ” »(—еницкий с/с);14:41;пн вт ср чт пт
339ј; ќћћ”ЌјЋ№Ќјя ”Ћ;14:38;ѕ–»Ћ” »(—еницкий с/с);14:50;сб вс
339ј; ќћћ”ЌјЋ№Ќјя ”Ћ;14:41;ѕ–»Ћ” »(—еницкий с/с);14:53;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;14:56;ѕ–»Ћ” »(—еницкий с/с);15:08;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;14:56;ѕ–»Ћ” »(—еницкий с/с);15:08;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;15:09;ѕ–»Ћ” »(—еницкий с/с);15:21;пн вт ср чт пт
211; ќћћ”ЌјЋ№Ќјя ”Ћ;15:13;ѕ–»Ћ” »(—еницкий с/с);15:25;сб вс
279; ќћћ”ЌјЋ№Ќјя ”Ћ;15:18;ѕ–»Ћ” »(—еницкий с/с);15:30;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;15:28;ѕ–»Ћ” »(—еницкий с/с);15:40;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;15:31;ѕ–»Ћ” »(—еницкий с/с);15:43;сб вс
211; ќћћ”ЌјЋ№Ќјя ”Ћ;15:35;ѕ–»Ћ” »(—еницкий с/с);15:47;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;15:45;ѕ–»Ћ” »(—еницкий с/с);15:57;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;15:53;ѕ–»Ћ” »(—еницкий с/с);16:05;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;15:54;ѕ–»Ћ” »(—еницкий с/с);16:06;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;16:03;ѕ–»Ћ” »(—еницкий с/с);16:15;пн вт ср чт пт
279; ќћћ”ЌјЋ№Ќјя ”Ћ;16:10;ѕ–»Ћ” »(—еницкий с/с);16:22;сб вс
279; ќћћ”ЌјЋ№Ќјя ”Ћ;16:11;ѕ–»Ћ” »(—еницкий с/с);16:23;пн вт ср чт пт
